session;treatment;period;phase;profit;subject;q;qi_min;Subject;client;Geschlecht;Alter;Trust_1;Trust_2;LM_1;LM_2;LM_3;LM_4;LM_5;LM_6;LM_7;LM_8;LM_9;LM_10;MM_1;MM_2;MM_3;MM_4;MM_5;MM_6;Studiengang;#N;#E;#T
S01;weakR;3;2;189;7;40;35;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;226.5;8;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;266.62;9;27;25;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;262;10;30;25;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;209.5;11;55;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;244;12;40;35;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;244;13;20;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;244;14;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;249.5;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;149.5;16;65;65;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;234.5;1;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;229;2;20;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;215;3;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;197;4;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;231;5;20;10;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;213.72;6;32;32;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;199;7;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;236.5;8;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;290;9;30;27;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;281.5;10;35;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;194;11;70;55;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;261.5;12;45;40;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;244;13;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;244;14;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;249.5;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;4;2;149.5;16;65;65;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;234.5;1;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;229;2;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;215;3;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;197;4;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;233.52;5;22;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;2;218.72;6;32;32;;;;;;;;;;;;;;;;;;;;;;;;;;
